1|1|Vacuum Carpets|0|67474|1|14|56|Added by Judy|0
2|1|Wash Outside|0|546564|1|14|129|Added by Judy|0
3|1|Polish Paint|0|673245|1|14|139|Added by Judy|0
4|2|Mow Lawn|0|32850564|1|14|146|Added by Judy|0
5|2|Rake up leaves|0|45620387|1|14|151|Added by Judy|0
6|2|Clip Roses|0|104421091|1|14|163|Added by Judy|0
7|3|Get minced beef|0|104423678|1|14|175|Added by Judy|0
8|3|Get tinned tomatoes|0|104876090|1|14|180|Added by Judy|0
9|3|Get Peppers|0|105900981|1|14|198|Added by Judy|0
10|4|Get Beer|0|107067322|1|14|202|Added by Judy|0
11|4|Get Wine|0|107499862|1|14|214|Added by Judy|0
12|4|Get Snacks|0|108890766|1|14|228|Added by Judy|0
13|4|Get Balloons|0|109087099|1|14|231|Added by Judy|0
14|5|Get Ring|0|110890222|1|14|247|Added by Judy|0
15|5|Send Invites|0|111198070|1|14|259|Added by Judy|0
16|5|Order Cake|0|115080743|1|14|264|Added by Judy|0
17|5|Get Dress|0|115180276|1|14|279|Added by Judy|0
18|6|Dust Surfaces|0|115270544|1|14|309|Added by Judy|0
19|6|Vacuum Floor|0|115308976|1|14|315|Added by Judy|0
20|6|Polish Floor|0|115408796|1|14|324|Added by Judy|0
21|7|Dismantle Cage|0|115506533|1|14|339|Added by Judy|0
22|7|New water in bottle|0|115695073|1|14|346|Added by Judy|0
23|7|Wash hammocks|0|115709047|1|14|359|Added by Judy|0
24|7|Clean Cage|0|115809655|1|14|367|Added by Judy|0
25|7|Add fresh food|0|115905931|1|14|370|Added by Judy|0
26|8|Change outside timed light|0|116008603|1|14|388|Added by Judy|0
27|8|Change oven clock|0|116189537|1|14|397|Added by Judy|0
28|8|Change microwave clock|0|116287901|1|14|403|Added by Judy|0
29|8|Change Grandfather clock|0|116306788|1|14|417|Added by Judy|0
30|9|Wash Bike|0|116487908|1|14|429|Added by Judy|0
31|9|Lubricate chain|0|116587901|1|14|438|Added by Judy|0
32|9|Adjust brakes|0|116608790|1|14|442|Added by Judy|0
33|10|Book Accommodation|0|116708907|1|14|457|Added by Judy|0
34|10|Book Flights|0|116898051|1|14|462|Added by Judy|0
35|10|Book hire car|0|116908790|1|14|479|Added by Judy|0
36|10|Get insurance|0|117080791|1|14|483|Added by Judy|0
37|10|Buy sunscreen|0|117189651|1|14|496|Added by Judy|0

